User,Time,Comment
安蓝·怪伯爵,2018-05-13,['全程我只希望灭霸赶紧集齐宝石打个响指把电影院聊逼天儿的傻逼们都灰飞了！']
血腥小伙伴,2018-05-12,['星爵死了差评，星爵人设崩了差评，星爵胖了差评']
城南草木生,2018-05-11,['反对计划生育。']
花落月西,2018-05-14,"['不充会员你们就想打过已开通蓝、紫、绿、黄、红、橙钻的人民币玩家？', '<a', 'class=""source-icon""', 'href=""https://www.douban.com/doubanapp/""', 'target=""_blank""><img', 'src=""https://img3.doubanio.com/f/shire/f62b2d2de3fc4a56d176b01cc3bbd47d2681fb38/pics/comment/android.png""', 'title=""发自Android""', 'alt=""Android""', 'rel=""v:image""/></a>']"
猕猴桃将军,2018-05-01,"['全程观感：在吃重庆老火锅', '突然往里下了一盘酸菜馅饺子', '刚吃了几口又往里加了山东煎饼卷大葱', '一碗米饭', '一份拍黄瓜', '一份干锅鸭头', '然后喊服务员来加汤', '直接一盒汇源果汁倒锅里了']"
hit the sack,2018-05-02,"['本来“一个响指抹一半”只是无限宝石力量的冰山一角、不足为奇，却改成“集齐六颗才能打响指”、“集齐六颗只为响指”，真是笑话，也不知道mind', 'stone和抹除生命有什么必然关系？', '另，以为多死几个人就是史诗了？贱过浑过现在想正经了，怎么让人正经得起来？观众凭什么要在乎这些无心角色的死活？']"
El Guaje,2018-04-27,['没办法，队长出现刹那还是泪了一下……兜转那么多年过去，才发觉自己最爱的始终是三巨头——如今看来，一切也确实要由他们仨来结束了。']
饱肚师叔,2018-05-03,['最后大反派到的异度空间我一瞬间以为是天庭并且接见他的是太上老君。']
Bulbasaur,2018-05-02,['近年来，漫威作品一直保持着很高的水准。这部电影已经把战场扩大到了整个星际，仍然是我们熟悉的英雄们，不过添加了很多新的人物。智慧，流畅的故事线，惊人的视觉特效，很多的超级英雄，绝对值得票价和时间。']
隔壁山田,2018-05-12,['就不需要看漫画了解灭霸的成长经历，他从哪来他经历了什么他怎可能真爱卡魔拉……只要在内地深度活过这几年，都会很自然地理解：我有深爱的人，同时也愿意与那些混蛋同归于尽。']
antares,2018-05-11,['灭霸这个想法感觉也不是不可以理解……']
诸葛不要·星,2018-05-11,['谁能横刀立马，唯有灭霸将军。灭霸戏很足，一改往年漫威反派弱鸡戏码。有亲情，有身世，二十几位超英沦为手下败将。谈笑间，半个宇宙，响指灰飞烟灭。多个CP被虐散，惨惨惨。罗素兄弟导演调度强，多线叙事却不乱，梗一个接一个，超英时间虽有限，每人戏份却出彩。凭谁问，灭霸老矣，尚能打否？']
ｙｏｋｏ,2018-04-27,['年度绝望电影。']
