User,Time,Comment
有意识的贱人,2018-04-25,['一直以为自己是漫威的路人，但看完《复联3》才知道漫威最强大的地方就是把每个人物都润物无声写进了你的心里，好几处泪眼婆娑。真的不要被剧透，这样你会多几次虐心，因为你不知道挂的究竟是谁。第一次看完漫威心情如此的down…节奏、视觉、情感全部被照顾到了！无限期待《复联4》！！！']
猪大腿,2018-04-28,"['灭霸是一个高尚的人，是一个脱离了私人恩怨、脱离了近身肉搏、脱离了低级趣味的人...', '等一等他压根就不是个人。']"
urmommytiger,2018-04-25,['看完之后很生气']
Amberose,2018-05-07,['我懂灭霸']
Coolsky,2018-04-27,['坐等下集灭霸qq会员各种钻到期']
蓝莓酱牛肉丸,2018-05-11,['建议复联4明天上映。']
大奇特(Grinch),2018-05-02,['一向不喜复联系列，像肥皂剧拍到季终。有罗素兄弟加持，至少不是混乱爆米花。不过这集只是赋予一层假惺惺的悲壮，下集还要逆转。团队角色依旧走马灯，多数沦为跳梁小丑，甚至背离初衷的性格。可喜的是灭霸被塑造成有血有肉的灵魂角色，用的是“天之道，损有余而补不足”的道理，最后还能做到清净无为。']
桃桃淘电影,2018-05-07,['太难了。。。']
木卫二,2018-05-11,['头号玩家：灭霸。本质上，就是找彩蛋大电影。战斗力波动得太厉害了，以前觉得超级英雄个个死不了，很无聊。但现在这种死法，又极端突兀（比如史塔克被插那么一刀）——更不要说灰飞湮灭，说明电影根本没有足够时间，去构筑真实的情感抉择，全是要挟绑架只能活一个……所以，更像一款漫威的电脑游戏。']
教育,2018-04-27,['漫威是不是要开启一种新的评分模式叫：这部好不好取决于你下一部怎么拍？']
高端电焊工阿信,2018-04-25,['《复仇者联盟：七堇年狂操韩庚组合》、《钢铁侠2：安妮宝贝痛扁蜘蛛侠》、《正义联盟3：金刚葫芦娃轮流咪蒙》、《漫威4：郭敬明大战绿巨人》、《时尚圈儿大乱斗5：变形金刚日翻马云》、《凛冽女子6：ayawawa夹死方舟子》。']
Rilkelee,2018-04-27,['灭霸，看透万物规律，忍辱负重，有情有义，一个男人扛起了整个宇宙的命运，迎着夕阳完成了自己的使命，我挺Thanos.']
糯木,2018-04-26,['啊这个结尾的方式真的万万没想到，太不类型了，一点都不类型。现实、直接、举重若轻，居然还带点诗意。本来觉得看完复联3我就漫威毕业了，但是现在，我需要马上看到复联4，立刻！马上！！']
User,Time,Comment
焚紙樓,2018-04-25,['復仇者覺得地球碰上霉運，我倒覺得是薩諾斯矇中了好運──試想，如果洛基不偷方塊，方塊留在阿斯加，薩諾斯和泰坦族即便本事通天，又焉能在場地Buff下火力無限血條無限的奧丁家長女面前奪寶？怕不是一進神域就被扒了手套暨頭皮。你大姐還是你大姐，就算戲約不在依舊能刷存在感阿。']
小十三,2018-04-28,"['建议小蜘蛛和钢铁侠出一部泡沫情景喜剧《老学究与小学生》，或者奇异博士和钢铁侠出一档综艺《嘴炮大擂台》，这两个组合我愿意再看几十年。', '意外发现冬兵和火箭放在一起也挺萌的。']"
李阿斗,2018-04-26,['剧情进展太快，眼泪还没流出来就被笑出来了，笑容还没收住就被眼眶的泪水抹煞了。不过这颗情怀吃得我心满意足，片尾巨大的悬念让人不忍离开影院。荷兰首映观影结束后全场起立鼓掌不息，终于催出了我磅礴的悲伤情绪，不忍告别这个宇宙，更不忍告别初代复联成员。']
张天翼,2018-05-12,"['下一部《复仇者联盟:', '我们的阴阳两界》。此去泉台招旧部，旌旗十万斩阎罗。']"
Zipporah,2018-04-28,['把我基神写成智障，辣鸡mcu']
哟大豪爷,2018-05-12,['我就是好奇托尼怎么回地球……留在火星种土豆？？？']
影志,2018-05-04,['过于悲壮的一部，但依旧膜拜在漫威的10年聚力…我们还有多少可以失去？']
1.,2018-04-25,['别团！等人齐！']
judy,2018-04-26,['人物過多到每個都只是出來露個臉表示我在。戲份較多的是反派Thanos，但也不覺塑造有到豐滿，連父女情都頗單薄。武戲精彩度也有降...且漫威一直加插笑點的路線，頻頻打斷這部正劇走向的劇情情緒...而所謂3和4實際就上下集關係。至於映前猜測誰死的話題...其實...根本不需煩惱吧...']
L‘avenir,2018-04-26,['不剧透，哭晕在影院。一个时代的终结，我们80末后这一代人的星战就是妇联。见证青春的十年。Asgard之星永不坠落。反派居然挺有深度的，有意思。']
Henrique Asano,2018-04-29,['极讨厌漫威的搞笑桥段，不断打断剧情气氛。角色太多，全片没有一个可称为人物，150分钟一直在说话，结果尽是下集的铺垫，连基本的发展、高潮都不及格']
舌在足矣,2018-04-27,"['“妇联3和4是独立的故事不是上下集”', '呵呵呵。这部不仅不是一个完整的独立成章的复仇者电影，甚至都不能算“复仇者”电影。多名核心成员未出现，没有一次集体亮相，哪怕是各小分队内部也缺乏协作，作为绝对精神领袖的队长甚至还不如星爵塑造的丰满。这部顶多只能叫“灭霸狂虐钢铁侠和雷神的小伙伴们”']"
red.,2018-04-26,"['关键点都好傻，我知道你要拍续集，我知道未来可以被重写，', '但那一拳真的有点傻。']"
User,Time,Comment
风间隼,2018-05-11,['不爱任何一个超级英雄，但是也知道他们中每一个的魅力都来自不可复制的身世和独特人格，现在被批发到一部太空肥皂剧里，纷纷沦为人肉道具，吸引力不是N倍增加，而是变成了N分之一。战斗戏的编排和想象力都严重欠费，最后的反高潮透着一股市侩——真有本事你就到此为止，别拍续集。']
蜉蝣,2018-05-04,['看片之前男朋友说怕被我剧透要分手等到上映之后再和好…==无可救药的混乱和自大，分开看所有人物都是满满的槽点。对于非粉丝来说，看剧透比看电影清晰多了。']
烟波人长安,2018-05-11,['灭霸明显入错行了啊，这手段、这心态，适合去搞计划生育！']
伊谢尔伦的风,2018-05-12,['结尾灭霸一个人坐在那里看日落好像小王子哦…………（眼神呆滞地说）']
亵渎电影,2018-05-11,['其实漫威电影就是将工业化的美剧模式电影化，这种电影的价值和一集美剧差不多。这年头，虽然喜欢作者电影化美剧的人越来越多，但这种传统工业化的美剧还是大众化的主流，像《权力的游戏》《绝命毒师》那种，你也不能否认这类影视剧讲故事的能力，漫威电影也属于这类，只是特效至上，更加爆米花而已。']
Velox,2018-04-26,"['群像剧角色越多，就越需要一两个人成为叙事中心。导演选了灭霸，没问题，但空有论点没有论证：他做事的动机居然只是几句道理，而他的抉择，牺牲，统统表现不足，这样观众怎么会对他投入感情？英雄由于数量过多，顾及不暇，除了幻视一对，其他人都像走程序的机器人。至于massive', 'death，只是个廉价手段']"
夏小正,2018-04-26,['洛基上来就死太难过了，钢铁侠差点死的时候我简直要哭了！凌晨的首映满场！真心给力的很，每秒都觉得抓眼球。灭霸形象塑造的很成功！']
乌鸦火堂,2018-05-12,['宇宙级计划生育补完计划，无产阶级革命家、宇宙计生办委员会灭主任跨越整个宇宙搜集龙珠召唤“响指”的故事。这部电影的副标题又名“后来的我们”，感谢星爵，让人期待《复仇者联盟4：逆转未来》！ps，某些人跟博士学着点，人家才是坚持不剧透']
vampireslayer,2018-04-25,"['瓦坎达大战真的是燃爆，索尔天神下凡的时候真的是看哭了，但是这个结局也太惨了点？满宝石手套灭霸骑脸还怎么翻盘。。。', '<a', 'class=""source-icon""', 'href=""https://www.douban.com/doubanapp/""', 'target=""_blank""><img', 'src=""https://img3.doubanio.com/f/shire/f62b2d2de3fc4a56d176b01cc3bbd47d2681fb38/pics/comment/android.png""', 'title=""发自Android""', 'alt=""Android""', 'rel=""v:image""/></a>']"
StormBringer,2018-04-29,"['洛基', '卡魔拉', '冬兵', '黑豹', '红女巫', '幻视', '格鲁特', '飞鹰', 'Drax', '星爵', '蜘蛛侠', '奇异博士', 'OUT！']"
...,2018-04-28,['讲道理，没那么好看。这一代主打的感情和英雄迟暮，有点硬。结局很惊，随后很蒙，明明知道变土的都能回来，所以看到各种真情流露就有点僵。彩蛋就是在问观众要钱，谜底和新坑明年揭晓。妇联也变的像春晚一样，看久了没啥感觉了']
瓦力,2018-04-25,['目前最好的《复联》！有故事、有情感、有强大反派（终于有了），动作戏场场精彩，几乎没有冷场，除了结局瞬间群发一大堆便当让悲壮过于廉价，其余部分非常满意，一对比《复联2》被衬得相当垃圾。只是灭霸的动机不太新鲜了，近点来说是《但丁密码》大反派阴谋的升级，不过从地球上升到宇宙层面。8.5/10']
王大根,2018-05-11,['不要喜欢上任何东西任何人，反正你喜欢的一切都会灰飞烟灭就对了！灭霸是他妈宇宙计生办的吗我日，不过我以后倒是可以对外宣称“我爹爱我就像灭霸一样多”了……']
User,Time,Comment
喜儿喂鸭正经地,2018-04-29,['雷神真男人！！！']
大海里的针,2018-05-11,['集合了漫威电影的所有优点：最悲壮的诸神黄昏，最热血的瓦坎达，最man的美队，最绝望的史塔克，最捣乱的银护，真·最没存在感的蚁人，当然还有最牛逼的宇宙计生委——灭霸！']
掉线,2018-05-11,['【B-】对于大部分电影来说，它们需要细节填满情感与人物，但迪士尼“聪明”的选择了另一条路，《复联3》的悲壮感，90%都靠前作累积出的，观众对角色早已有的了解和喜爱，用一些不高明的手段调动便可让观众自行大量脑补继而感动。这种方法廉价而高效，但能算好电影吗？反正在我这不算。']
寒枝雀静,2018-04-25,"['B', '/', '他们从曾经的童话光环里走出，最终不得不面对凡人无常而绝望的生死疲劳，所有抗争背后都是代价。简简单单一个最核心的“交换”概念拍出了属于漫威的《一一》。几个反类型的时刻都踩得很好，假如MCU停止于此刻或许可以算是一个光辉的结尾。三部复联最高，私人MCU前三。']"
惘然,2018-05-09,['男人不要再说女人看重钻石了，你看灭霸为了集齐六颗钻石，把宇宙都要搞翻天了；女人也不要说男人不解风情，灭霸与天下为敌，不过是为了能悠闲地坐下来看看夕阳……#第一次get到了雷神的帅#']
西楼尘,2018-05-15,['黑寡妇和绿巨人一个对视你就懂了，星爵和雷神一个对话你就笑了，美国队长和冬日战士一个拥抱你就哭了。你懂那些错过，笑那些荒唐，哭那些重逢。灭霸打了个响指，你忽然和蜘蛛侠一样难过。难过的不是世界的坍圮，而是你分明看到银幕外的自己，带着不切实际的幻想和十年的回忆，在时间的烟尘里化为灰烬。']
Paco,2018-05-12,['1.严肃的时候太把自己当回事，插科打诨的时候太不把自己当回事。2.除了奇异博士几乎每场打斗都是轮流在交智商税，不砍手不用时间宝石的潜在解释只有xxx种结局之唯一赢法，促成因素是博士看最透，这剧本是本尼经纪人写的吗？3.不扯计生环保，都蠢成这样了，死不足惜留一半都后患，别复活了。']
H2O.,2018-05-11,['又名：灭霸不为众人理解使命的阐述与理想的实现。']
关键是be free,2018-04-25,['美队没死']
zka411,2018-04-23,"['我看过了', '美国队长死了！！！！！！！！！！！！！']"
冰山的阴影,2018-05-11,['凌晨两点半从首映的影院散场出来，空旷的街道仿佛确如半数以上人类消失的世界。路口的指示灯零星地闪烁，只有角落里的一只猫转过脑袋从容地和我对视，另外一只翘着尾巴从墙头跳下，钻进无人的车底。你是否愿意付出所有的市声喧嚣、尔虞纷争只换此刻永恒的宁静？突然就懂了灭霸。人间不值得。']
汽车大师,2018-05-08,['作为几亿级的大片，视觉想象力之匮乏也是没谁了，偏偏还是部靠场景划分的情景喜剧。美术指导、动作设计都是零分级']
wojiangwojiang,2018-05-11,"['爆米花电影', '叫灭霸的宇宙计生委员会大妈指标达成后坐看夕阳西下一脸欣慰']"
Thomas,2018-04-29,['前期没关注，只看到一百篇“没给演员真剧本”通稿。然而根本不需要什么剧本，而且剧本太烂了。']
扭腰客,2018-05-12,['非常燃，非常爆米花，对得起“漫威宇宙”这个title。以及，灭霸的想法其实是社会达尔文主义的产物，说他是反派，倒不如说他是一个卓越的计生委主任呀！']
Lottie,2018-05-13,['星爵是全片最傻逼的……还有为啥不砍手……？？？？？？？']
何婊砸,2018-04-27,"['复仇者联盟版“霍格沃茨大战”，灭霸收集无限宝石犹如伏地魔收集魂器。全片悲壮惨烈虐心至极，只能靠英雄们间的插科打诨和斗嘴调和气氛。锤基兄弟情深，卡魔拉星云姐妹情深，灭霸卡魔拉父女情深，铁人小虫“父子”情深，幻红爱侣情深。凡人外表出场的炮总禁欲气质帅到我了！Peter', 'Dinklage竟然有参演！']"
珍妮的肖像,2018-05-11,['古道西风灭霸，夕阳西下，断肠人在瓦坎达。']
User,Time,Comment
马小褂,2018-05-11,['听我一句劝，非漫威粉丝真的别来看了。这片是我看过最不照顾路人的超级英雄电影，何必浪费两个半小时在影院里睡觉呢。所有角色基本都只有功能性，非常依赖粉丝对他们的场外了解去补完个性。完全靠虐粉来营造出伪莎剧式悲壮感，然而只有情绪却不存在动机，路人只会觉得廉价可笑。']
德川大嘟嘟,2018-05-13,['你就说有多少人头是白送的……']
peter,2018-04-25,['在世界最大IMAX看首映，彩蛋结束所有人都静静地离开连交谈都没有，全部吓傻了']
慕容复,2018-05-12,['第一次电影演完95%的人没走等着彩蛋。']
文泽尔,2018-05-11,"['星际岳云鹏痛殴极端环保主义者终致全宇宙被迫参加俄罗斯轮盘赌', '打戏精彩纷呈然而故事老套', '部分角色为领便当罔顾逻辑']"
刮刮油,2018-05-13,['无限战争告诉你，再宏大炫酷的战争，不如撅手指头来得实在。']
豆瓣浅度用户,2018-04-28,['其实视角转换到反派那里，这就是一个修真爽文。漫威的肤浅在于，缤纷的世界观之下人性反而浅显；但即便美国主流文化十分值得批判，漫威也从未停止创新。疯狂的政治家实行无差别灭族政策，虽然是在以世界主义在卖票，但核心还是美国本位。电影充满美国政坛隐喻：包容内在异化，抵抗外在异化。']
恶魔的步调,2018-05-11,"['跟魔戒比，这是相当高魔了！灭霸，前计生委形象大使！小恶魔翻身记！彩蛋是灭一半人类只为Captain', 'Marvel打个预告片！？最后感觉可以无缝连接到Leftovers去，加上在一艘形似工程师飞船上的异形梗……达蒙·林德洛夫（普罗米修斯）居然没掺和本片！最后灭霸也灰飞烟灭那就是神片了！']"
荔枝超人,2018-05-11,['眼里只有猩红女巫。']
假装在纽约,2018-05-13,['从电影院出来，看路上的每一个人，觉得他们下一秒就会变成流沙，就是这种怅然若失的挫败感。']
葵花卷,2018-04-28,['演职员表出现的一瞬间，我相信漫威收到的怒火和刀片足够发展冶钢副业。']
女神的秋裤,2018-05-11,['告别，是唯一的办法。刚刚还喊着卧槽，影片结束，字幕一出，影院突然很安静，只听到一个女生轻轻的抽泣声…']
朝阳区白百合,2018-05-11,['美队戏份太少，锤哥帅到惊人！']
.---- .----,2018-04-30,['为了能静静地看日出，不堪其扰的泰坦人灭霸只好先花点时间把游客都赶走。']
木由,2018-04-26,"['1.', '路不平大家铲，理不平复联管。2.爱你爱到杀死你。', '3.期末小组作业遇到坑爹队友。4.热烈庆贺本人观影史上第一个（算是）成功了的反派诞生。Ps：时隔多年再次看到玄冥二老竟是友情客串大魔王小弟，真是百感交集。']"
